URL,Name,Faculty-Student Ratio,Undergraduate Size,Total Size,Average Classroom Size,Acceptance Rate,Tuition,City Size,Accepted - South,Applied - South,Acceptance Rate - South,sat25,sat75
https://student.naviance.com/colleges/profile/06d85bf7-4562-450f-b05d-9a37842890ca/Overview,California Institute of Technology,3,901,2240,18.4,6.62%,44926,"Midsize City, greater than 100,000 pop",0,36,0,1550,1590
https://student.naviance.com/colleges/profile/5d760691-a37d-4d5b-a5fa-d648bd4cb955/Overview,University of California-Berkeley,19,30799,42327,22.2,14.84%,33896,"Midsize City, greater than 100,000 pop",14,182,7.6923076923076925,1510,1580
https://student.naviance.com/colleges/profile/4cbedea8-9b3c-4fe2-856c-9eb2036b5382/Overview,University of California-Davis,20,31162,39074,,41.07%,30357,"Suburb, near city w/ less than 100,000 pop",10,35,28.57142857142857,1375,1517.5
https://student.naviance.com/colleges/profile/f4e915e5-8f7f-448a-9cfd-74cf526911a8/Overview,University of California-Irvine,18,29307,35242,21.1,28.76%,28567,"Large City, greater than 250,000 pop",7,48,14.583333333333334,1420,1510
https://student.naviance.com/colleges/profile/e883594c-dc4c-4457-bb05-89a9d918c74e/Overview,University of California-Los Angeles,18,31309,44334,23.8,12.18%,29293,"Large City, greater than 250,000 pop",6,160,3.75,1495,1570
https://student.naviance.com/colleges/profile/6bad2a2e-9120-4b8c-951a-b67469bfc7c2/Overview,University of California-San Diego,26,31607,38792,29.7,30.06%,28282,"Large City, greater than 250,000 pop",14,116,12.068965517241379,1440,1540
https://student.naviance.com/colleges/profile/f530cac6-d0f2-42be-9acb-314465847831/Overview,University of California-Santa Barbara,18,23021,25892,23,32.2%,30760,"Suburb, near city w/ greater than 100,000 pop",5,40,12.5,1400,1520
https://student.naviance.com/colleges/profile/cfd102b1-4d6c-47d5-bf44-48df592c826b/Overview,Carnegie Mellon University,7,6525,13587,19.9,17.12%,52564,"Large City, greater than 250,000 pop",10,201,4.975124378109453,1470,1550
https://student.naviance.com/colleges/profile/af34939c-928a-4e67-916b-d3e09d942ee2/Overview,Case Western Reserve University,11,5261,11935,23,29.25%,37150,"Large City, greater than 250,000 pop",23,111,20.72072072072072,1420,1530
https://student.naviance.com/colleges/profile/08a300b2-b1a6-415b-963a-05262d2aa206/Overview,Cornell University,8,15182,23291,23.9,10.61%,46258,"Small City, less than 100,000 pop",16,258,6.2015503875969,1490,1560
https://student.naviance.com/colleges/profile/4c5420a3-c9c1-4a8b-8a5f-d47d428f5af3/Overview,Duke University,6,6696,16130,17.7,8.91%,45034,"Large City, greater than 250,000 pop",3,117,2.564102564102564,1515,1575
https://student.naviance.com/colleges/profile/885f2737-46b0-4784-9113-5264e03ce588/Overview,Georgia Institute of Technology-Main Campus,19,15573,29376,31.3,21.53%,16674,"Large City, greater than 250,000 pop",27,162,16.666666666666664,1470,1560
https://student.naviance.com/colleges/profile/cd02bf48-5a7d-4256-b9b1-289ad90b7504/Overview,Harvey Mudd College,8,861,861,18.7,14.48%,42967,"Suburb, near city w/ greater than 250,000 pop",0,7,0,1545,1587.5
https://student.naviance.com/colleges/profile/3014b865-92d6-41ba-a2b4-64d0f9fd7693/Overview,University of Illinois at Urbana-Champaign,20,33955,48216,27.6,65.56%,27888,"Midsize City, greater than 100,000 pop",58,219,26.48401826484018,1410,1530
https://student.naviance.com/colleges/profile/e48c4a95-0fe0-49d3-a648-e051808f1126/Overview,Johns Hopkins University,7,5383,7798,17.8,9.24%,44393,"Large City, greater than 250,000 pop",5,115,4.3478260869565215,1465,1560
